psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
101498,1,1,48,3,S,2,1,4,1,1,3,2,2,2,2,3,2,1,2,4,1,1,1,2,2,1,2,1,1,1, , , ,1,1,1,1,1,3, ,3,0, ,15, ,20,0, ,4,4,2,4,4,4,4,4,4,2,4,4,2,2,4,1,1,1, ,3,3,2,2,2,2,2, ,1,1,1,1,1,1, ,3,4,1,4,3, , ,4,4,2,100,2, , ,7,6,6,6,6,1,2,1,3,2,1,2,1,3,3,3,3,3,3,3,3,51,2,2,6,1,2, ,1,9, ,2, , ,76248,2.09375,0.684511492
101504,1,1,29,2,S,1,2,3,1,1,3,3,3,1,2,3,1,1,2,3,1,1,1,2,1,1,2,1,2,1, , , ,1,2,2,2,1,2, ,2,0, ,4, ,5,6, ,2,1,2,4,4,1,4,4,1,2,1,2,2,2,4,2,2,4,4,2,3,3,4,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4, ,4, ,2,220,2, , ,4,6,5,5,7,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,45,2,4,6,4,2, ,1,5, ,2, , ,64015,2.15625,0.70494467
101506,1,1,48,3,S,1,2,3,5,2,4,2,4,1,2,4,3,2,2,4,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,4,1,1,1,4,1,1,4,2,4,1,2,1,1,4,1,1, , , ,4,1,9,1,1, , , ,1,1,5,8, , ,4,4,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83,4,4,8,3,2, ,1,3,1,2, , ,76636,2.375,0.776460796
101509,1,1,16,4,S,1,2,1,1,2,3,3,3,1,1,3,1,1,3,3,1,1,1,1,2,1,2,2,2,1, , , ,1,2,2,2,1,1, ,1,0, ,6, ,6,3, ,3,2,1,1,4,1,2,4,4,4,4,1,1,2,2,1,2,4, ,2,3,2,9,1,1,2, ,2,2,2,5,8,2, ,3,2,2,3,3, , , , ,1,50,2, , ,4,1,2,1,4,1,1,1,2,3,2,2,2,2,3,3, ,3,3,3,3,65,2,5,5,3,2, ,1,4, ,2, , ,83605,1.375,0.449529935
101514,1,2,6,4,S,1,1,3,1,1,4,4,4,4,1,4,1,1,4,4,1,1,2,2,2,2,2,2,2,2,1,2, ,1,2,2,1,1,4, ,3,0, ,0, , , , ,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3, , ,2,1,2,2,2,2, , ,1,1,1,2,2, , ,3,3,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55,4,4,1,6,1,3,1,3, ,1, , ,93927,3.78125,1.236207321
101515,1,1,53,4,R,2,2,2,1,2,3,4,1,1,1,4,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2, , ,1,1,1,1,2, , , , , ,50, ,10, , ,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,1,4, , ,1,2,1,1,1,1, , ,1,1,1,1,1, , ,4,4,4,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51,2,4,8,1,1,1,6,7, ,2, , ,98837,1.15625,0.378013809
101521,1,1,13,3,R,2,2,3,6,2,2,2,1,2,2,1,1,2,2,2,2,2, ,2, , , , , , , , , ,1,1,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,3, , , ,2,4,9,4,4, , , ,8,8,5,8, , ,4,2,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55,1,3,4,6,2, ,2,1, ,3, , ,31533,1.0625,0.347364041
101523,1,1,36,1,U,2,1,4,1,1,2,2,4,2,1,2,2,2,2,4,1,2,1,2,2,2,2,8,8,2,1,2, ,1,2,2,2,1,1, ,2,0, ,5, ,10, , ,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4, , ,4,8,4,2,4,2, , ,8,1,1,2,2, , ,4,2,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41,2,2,6,2,2, ,3,3, ,1, , ,11373,3.21875,1.052308711
101526,1,1,26,2,R,1,1,2,6,2,2,1,2,2,2,3,1,2,3,3,1,2,1,2,2,1,2,8,1,1, , , ,1,2,2,2,1,5, ,1,0, ,20, ,50,2, ,1,1,3,1,4,2,1,4,2,1,1,4,1,2,4,1,3,4, ,4,3,2,2,1,3,3, , ,3,2,3,8,3, ,4,3,2,3,2, , , ,6,4,50,2, , ,7,7,5,6,5,2,2,1,3,1,1,2,3,1,3,1, ,1,3,1,1,66,1,2,8,2,2, ,1,3, ,1, , ,48763,1,0.326930862
101527,1,1,42,1,U,1,1,3,1,2,2,4,2,1,2,4,1,2,3,4,1,2,1,8,2,2,2,1,1,1, , , ,1,2,2,2,2, , , , , ,10, ,10, , ,1,4,4,4,4,1,4,1,4,1,4,1,3,2,1,1,3,9, ,4,3,3,9,3,4,3, ,1,1,9,5,8,8, ,3,3,2,3,3, , ,6,9,1,40,2, , ,7,1,2,7,7,1,2,1,2,3,2,2,1,3,3,9, ,3,3,3,3,73,2,5,8,3,2, ,1,7, ,2, , ,15212,1.65625,0.54147924
